Question,No,EquipmentID,Start,End,Start_s,End_s,Duration_s,Process,Crew,Workshop,EquipmentType
P2,1,ACA1-4,00:03:20,01:15:20,200,4520,4320,A1,1,A,Automated Conveying Arm
P2,2,ICM1-1,00:03:20,04:03:20,200,14600,14400,E1,1,E,Industrial Cleaning Machine
P2,3,PFM1-1,00:03:20,01:33:20,200,5600,5400,A1,1,A,Precision Filling Machine
P2,4,ACA1-2,00:03:50,02:56:38,230,10598,10368,C1,1,C,Automated Conveying Arm
P2,5,ICM1-2,00:03:50,02:56:38,230,10598,10368,C1,1,C,Industrial Cleaning Machine
P2,6,ICM1-3,00:05:10,01:17:10,310,4630,4320,B1,1,B,Industrial Cleaning Machine
P2,7,ICM1-5,00:05:55,02:29:55,355,8995,8640,D1,1,D,Industrial Cleaning Machine
P2,8,ACA1-3,01:17:10,06:17:10,4630,22630,18000,B2,1,B,Automated Conveying Arm
P2,9,PFM1-5,01:17:10,08:47:10,4630,31630,27000,B2,1,B,Precision Filling Machine
P2,10,HPM1-1,01:33:20,06:33:20,5600,23600,18000,A2,1,A,High-speed Polishing Machine
P2,11,ICM1-4,01:33:20,03:33:20,5600,12800,7200,A2,1,A,Industrial Cleaning Machine
P2,12,ACA1-1,02:29:55,05:09:55,8995,18595,9600,D2,1,D,Automated Conveying Arm
P2,13,PFM1-2,02:29:55,06:29:55,8995,23395,14400,D2,1,D,Precision Filling Machine
P2,14,PFM1-3,02:56:38,05:00:04,10598,18004,7406,C2,1,C,Precision Filling Machine
P2,15,PFM1-1,04:03:20,05:46:12,14600,20772,6172,E2,1,E,Precision Filling Machine
P2,16,PFM1-3,05:00:04,06:48:04,18004,24484,6480,C3_1,1,C,Precision Filling Machine
P2,17,ACA1-1,05:14:15,06:40:39,18855,24039,5184,C3_1,1,C,Automated Conveying Arm
P2,18,ASM1-1,05:46:12,07:46:12,20772,27972,7200,E3,1,E,Automatic Sensing Multi-Function Machine
P2,19,PFM1-2,06:29:55,07:47:04,23395,28024,4629,D3,1,D,Precision Filling Machine
P2,20,HPM1-1,06:48:04,10:08:04,24484,36484,12000,C4_1,1,C,High-speed Polishing Machine
P2,21,ICM1-1,06:48:04,10:48:04,24484,38884,14400,C4_1,1,C,Industrial Cleaning Machine
P2,22,ASM1-1,07:57:52,12:57:52,28672,46672,18000,A3,1,A,Automatic Sensing Multi-Function Machine
P2,23,PFM1-4,08:47:10,09:48:53,31630,35333,3703,B3,1,B,Precision Filling Machine
P2,24,HPM1-1,10:12:24,22:42:24,36744,81744,45000,D4,1,D,High-speed Polishing Machine
P2,25,ASM1-1,13:05:22,18:05:22,47122,65122,18000,D4,1,D,Automatic Sensing Multi-Function Machine
P2,26,ICM1-1,14:53:45,20:53:45,53625,75225,21600,E3,1,E,Industrial Cleaning Machine
P2,27,ASM1-1,18:09:42,22:09:42,65382,79782,14400,C5_1,1,C,Automatic Sensing Multi-Function Machine
P2,28,ACA1-1,22:09:42,23:36:06,79782,84966,5184,C3_2,1,C,Automated Conveying Arm
P2,29,PFM1-1,22:09:42,23:57:42,79782,86262,6480,C3_2,1,C,Precision Filling Machine
P2,30,ASM1-1,22:42:24,27:42:24,81744,99744,18000,D5,1,D,Automatic Sensing Multi-Function Machine
P2,31,HPM1-1,23:57:42,27:17:42,86262,98262,12000,C4_2,1,C,High-speed Polishing Machine
P2,32,ICM1-1,23:57:42,27:57:42,86262,100662,14400,C4_2,1,C,Industrial Cleaning Machine
P2,33,HPM1-1,27:42:24,34:42:24,99744,124944,25200,D6,1,D,High-speed Polishing Machine
P2,34,ASM1-1,27:57:42,31:57:42,100662,115062,14400,C5_2,1,C,Automatic Sensing Multi-Function Machine
P2,35,ACA1-1,31:57:42,33:24:06,115062,120246,5184,C3_3,1,C,Automated Conveying Arm
P2,36,PFM1-2,31:57:42,33:45:42,115062,121542,6480,C3_3,1,C,Precision Filling Machine
P2,37,ASM1-1,32:06:52,35:42:52,115612,128572,12960,B4,1,B,Automatic Sensing Multi-Function Machine
P2,38,ICM1-1,33:45:42,37:45:42,121542,135942,14400,C4_3,1,C,Industrial Cleaning Machine
P2,39,HPM1-1,34:46:44,38:06:44,125204,137204,12000,C4_3,1,C,High-speed Polishing Machine
P2,40,ASM1-1,38:06:44,42:06:44,137204,151604,14400,C5_3,1,C,Automatic Sensing Multi-Function Machine
P2,41,HPM1-1,38:15:54,41:15:54,137754,148554,10800,B4,1,B,High-speed Polishing Machine
